cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.id_str,user.user_data.screen_name
0.8748575042966269,0.904303821618659,0.1,4.2,0.5,4.6,4.6,4.2,3.2,0.0,2.2,0.1,4.3,4.8,4.8,4.3,0.02,0.84,0.1,0.91,0.91,0.85,0.64,0.0,0.43,0.02,0.8566666666666666,0.95,0.95,0.86,ar,1523684068843560967,aboaljwharh
0.8595061719862279,0.8074910771589409,0.7,3.0,2.3,4.4,4.4,0.2,1.2,0.4,2.9,2.0,3.6,3.6,0.4,0.8,0.14,0.61,0.46,0.89,0.89,0.04,0.23,0.09,0.58,0.41,0.72,0.72,0.08,0.15,ar,2946218538,maesapugay
0.8036706514015852,0.82211302959919,0.2,1.4,0.1,3.8,3.8,1.4,0.2,0.3,0.8,0.0,4.1,4.1,1.4,0.2,0.05,0.29,0.02,0.76,0.76,0.27,0.03,0.06,0.15,0.0,0.81,0.81,0.28,0.04,ar,440764810,mstaml_com
0.8748575042966269,0.8064216072785402,1.0,3.0,2.2,4.6,4.6,0.3,0.8,0.6,2.4,1.8,3.5,3.5,0.4,0.2,0.2,0.6,0.43,0.91,0.91,0.06,0.16,0.13,0.48,0.36,0.7,0.7,0.08,0.04,ar,1522239660709359621,hlaalomr19
0.796599114745521,0.8053429027352532,0.2,2.0,0.4,3.2,3.2,0.0,2.6,0.0,1.8,0.0,2.0,2.8,0.0,2.1,0.03,0.41,0.08,0.64,0.64,0.0,0.51,0.0,0.36,0.01,0.41,0.57,0.01,0.42,ar,789615734825553920,Vertu_girls
0.8100783815308749,0.8048245702790952,0.8,2.6,1.0,4.0,4.0,0.1,0.9,0.9,2.2,0.9,1.7,2.2,0.2,0.9,0.15,0.52,0.2,0.79,0.79,0.02,0.18,0.18,0.43,0.18,0.34,0.45,0.03,0.18,ar,1111587136912920577,morooj1999
0.8287549877594508,0.5982419966968565,1.6,1.2,0.1,4.2,4.2,0.4,0.4,1.7,0.7,0.0,1.8,0.7,0.0,0.2,0.31,0.25,0.02,0.84,0.84,0.07,0.07,0.34,0.14,0.0,0.37,0.14,0.0,0.03,ar,1246465911038640139,Ameshary55
0.8912318555080615,0.8169336709169681,0.8,2.6,1.9,4.6,4.6,0.5,0.8,0.8,1.6,1.4,4.0,4.0,0.8,0.8,0.17,0.52,0.38,0.93,0.93,0.1,0.17,0.17,0.33,0.29,0.79,0.79,0.16,0.16,ar,1445465654560268288,salam_soly
0.8670116134145492,0.813043153461001,0.9,2.8,2.0,4.5,4.5,0.6,1.0,0.7,2.8,1.9,3.8,3.8,0.8,0.8,0.18,0.55,0.41,0.9,0.9,0.11,0.2,0.14,0.55,0.38,0.77,0.77,0.16,0.17,ar,859266663505686528,esraafss
0.7967206940193189,0.8006881983123656,0.4,1.0,0.0,3.3,3.3,0.5,0.1,0.2,0.8,0.2,2.3,1.8,0.4,0.4,0.09,0.2,0.0,0.66,0.66,0.1,0.02,0.04,0.16,0.03,0.46,0.37,0.07,0.09,ar,2329672842,Storwd
0.8829632678129363,0.8082278383974655,0.8,2.7,2.2,4.6,4.6,0.6,0.8,0.8,2.3,1.7,3.6,3.6,0.9,0.6,0.17,0.54,0.44,0.92,0.92,0.12,0.17,0.17,0.46,0.34,0.73,0.73,0.18,0.13,ar,1490776083989516290,lolo_155
0.8100783815308749,0.8060512678410475,1.0,2.0,0.8,4.0,4.0,0.2,0.2,1.4,1.3,1.0,3.4,3.4,0.3,0.4,0.2,0.39,0.16,0.79,0.79,0.05,0.05,0.27,0.26,0.21,0.69,0.69,0.06,0.08,ar,345940151,Nottes0
0.8524047631581662,0.8102129289660348,0.9,3.4,2.0,4.4,4.4,0.4,1.0,0.7,2.8,1.4,3.8,3.8,0.6,0.6,0.18,0.68,0.41,0.88,0.88,0.08,0.21,0.14,0.56,0.29,0.75,0.75,0.11,0.12,ar,1447932883985915910,saat53
0.8287549877594508,0.8052478284119403,0.6,2.2,1.8,4.2,4.2,0.4,0.6,0.5,1.4,1.8,3.2,3.2,0.8,0.4,0.11,0.43,0.36,0.84,0.84,0.07,0.11,0.1,0.28,0.35,0.64,0.64,0.15,0.07,ar,1256039514,FunnyJokesforya
0.8912318555080615,0.8102129289660348,1.2,3.1,2.1,4.6,4.6,1.1,1.4,0.8,2.8,2.0,3.8,3.8,1.3,1.0,0.23,0.62,0.42,0.93,0.93,0.22,0.27,0.17,0.57,0.39,0.75,0.75,0.26,0.2,ar,1514372487538171905,wtyn50329450
0.8595061719862279,0.7982287282125168,0.7,1.9,1.6,4.4,4.4,0.4,0.4,0.8,1.5,1.2,2.9,1.8,0.6,0.2,0.14,0.38,0.31,0.89,0.89,0.08,0.09,0.16,0.3,0.24,0.59,0.35,0.11,0.03,ar,367397002,n_a_s2011
0.8912318555080615,0.8421031637823202,0.4,3.0,2.4,4.6,4.6,0.6,1.0,0.3,2.7,1.4,4.3,4.3,1.2,0.8,0.07,0.6,0.49,0.93,0.93,0.13,0.19,0.06,0.54,0.29,0.86,0.86,0.24,0.17,ar,1058747837935222784,sr7chjvV4kd79v4
0.812935016236137,0.8039704121290502,2.4,2.7,0.8,4.0,4.0,0.3,1.4,2.4,2.3,0.1,2.2,2.1,0.1,1.0,0.48,0.54,0.15,0.8,0.8,0.06,0.28,0.48,0.47,0.02,0.43,0.42,0.02,0.21,ar,1479450451850534920,nooowor
0.8240917140475522,0.8052109974132647,0.3,1.2,0.3,4.1,4.1,0.4,0.1,0.8,0.6,0.4,3.1,3.1,0.4,0.3,0.06,0.23,0.06,0.83,0.83,0.07,0.02,0.15,0.12,0.07,0.62,0.62,0.07,0.06,ar,1857831962,shariaimamu
0.8829632678129363,0.8053088638387352,0.7,2.4,2.0,4.6,4.6,0.2,0.6,0.6,1.6,1.0,3.2,3.2,0.6,0.2,0.14,0.48,0.39,0.92,0.92,0.05,0.13,0.13,0.33,0.2,0.65,0.65,0.11,0.05,ar,373371521,tontonrectin
0.8524047631581662,0.8053747654061287,0.4,2.7,1.8,4.4,4.4,0.2,0.8,0.4,2.2,2.0,2.8,2.8,0.6,0.6,0.08,0.54,0.37,0.88,0.88,0.04,0.16,0.09,0.43,0.4,0.56,0.56,0.11,0.12,ar,2564911261,dikyrevi
0.8287549877594508,0.8372129323854712,0.2,3.6,0.4,4.2,4.2,4.0,1.8,0.0,2.2,0.4,4.2,4.2,3.2,1.8,0.04,0.71,0.09,0.84,0.84,0.8,0.35,0.01,0.43,0.07,0.85,0.85,0.64,0.35,ar,1500102292523167751,Neva56034128
0.816204310368583,0.7784494983408411,1.2,3.1,0.0,4.1,4.1,0.2,1.0,1.2,1.9,0.1,2.9,1.4,0.2,0.8,0.24,0.62,0.0,0.81,0.81,0.04,0.2,0.24,0.38,0.02,0.59,0.28,0.05,0.17,ar,1496194762889744384,yswgh12
0.816204310368583,0.8074910771589409,1.6,1.9,0.4,4.1,4.1,0.2,0.5,2.1,1.0,0.4,3.6,3.6,0.3,0.6,0.31,0.38,0.08,0.81,0.81,0.04,0.1,0.42,0.21,0.07,0.72,0.72,0.06,0.13,ar,1058475545921552384,7ubun1
0.812935016236137,0.8035432096295109,2.5,1.8,1.0,4.0,4.0,0.1,0.3,2.9,1.6,0.4,2.3,2.0,0.0,0.1,0.5,0.36,0.19,0.8,0.8,0.02,0.06,0.59,0.32,0.08,0.46,0.41,0.0,0.02,ar,4927427080,Mooooj5555
0.7966368747455678,0.7828265255249504,0.7,1.2,0.0,3.2,3.2,0.6,0.6,0.4,0.8,0.0,1.8,1.4,0.6,0.2,0.14,0.25,0.01,0.65,0.65,0.13,0.12,0.07,0.17,0.0,0.36,0.29,0.12,0.04,ar,1313802719673671687,Graphicdesign7o
0.923535423667034,0.8709863679403037,0.4,4.6,2.0,4.8,4.8,3.9,2.7,0.2,4.2,1.3,4.5,4.5,3.9,2.7,0.08,0.92,0.4,0.97,0.97,0.78,0.53,0.03,0.84,0.2533333333333333,0.9066666666666666,0.9066666666666666,0.78,0.53,ar,1524582759217483776,mnsqtsh24431101
0.7966368747455678,0.7828265255249504,0.7,1.2,0.0,3.2,3.2,0.6,0.6,0.4,0.8,0.0,1.8,1.4,0.6,0.2,0.14,0.25,0.01,0.65,0.65,0.13,0.12,0.07,0.17,0.0,0.36,0.29,0.12,0.04,ar,1313802719673671687,Graphicdesign7o
